======================================================================
  DAFTAR DRAMA - KOREAN
  Total: 632 drama
======================================================================

No.    ID       Judul                                               Episode
394    3031     18세 소녀는 내 증조할머니2 （더빙）                                100 eps
395    3052     그녀를 다시 안았을 때                                          82 eps
396    3059     이어지지 못한 우리                                            76 eps
397    3061     후궁의 복수: 운명을 훔친 자                                      87 eps
398    3082     술신                                                    64 eps
399    3084     강력한 경비원                                               77 eps
400    3093     내 첫사랑은 누구일까?                                          64 eps
401    3095     전 여자친구는 내 주치의                                         60 eps
402    3097     기장님의 약혼녀는 유부녀                                         51 eps
403    3099     독을 품은 장미                                              88 eps
404    3134     오늘은 사랑하기 딱 좋은 날                                       77 eps
405    3138     다시 쓰는 우리 결혼일기                                         86 eps
406    3141     내가 한때 사랑했던 사람                                         86 eps
407    3149     나의 뱀 신부                                               43 eps
408    3151     편집된 사랑, 끝없는 후회                                        52 eps
409    3175     약속을 어긴 달빛                                             65 eps
410    3178     재벌의 딸이 되기까지                                           66 eps
411    3182     이혼 후 사모님의 반란                                          78 eps
412    3199     달콤한 덫                                                 76 eps
413    3205     이번 생은 내가 주인공                                          70 eps
414    3219     다시 만난 건 운명                                            78 eps
415    3230     읽지 마! 내 속마음!                                          98 eps
416    3232     읽지 마! 내 속마음!                                          98 eps
417    3248     굳세어라,서환희                                              89 eps
418    3261     두 자매, 한 집안                                            60 eps
419    3288     사랑과 배신 사이                                             60 eps
420    3289     사라진 진실                                                51 eps
421    3297     기억이 널 지워도                                             77 eps
422    3304     엇갈린 인연, 내 사랑을 찾았다                                     84 eps
423    3305     찬 바람 속에서 피어난 꽃                                        87 eps
424    3313     악운을 먹는 소녀                                             75 eps
425    3342     가시 속의 장미                                              72 eps
426    3343     신을 죽이는 그녀                                             50 eps
427    3360     왕의 귀환                                                 45 eps
428    3361     사령관님, 복덩이 왔습니다                                        73 eps
429    3392     가난한 척한 가족, 이제 안녕                                      72 eps
430    3393     재벌집 꼬마들 엄마 찾기 프로젝트                                    53 eps
431    3405     그 사람만의 치료제                                            63 eps
432    3415     그 사랑, 굿 타이밍                                           80 eps
433    3416     대표님의 인턴 와이프                                           91 eps
434    3424     진짜 아가씨를 찾아줘                                           59 eps
435    3432     그녀의 70년대 사용 설명서                                       95 eps
436    3453     오직 너만                                                 63 eps
437    3454     와이러니의 비밀                                              54 eps
438    3455     나는 언니를 죽인 살인범이다                                       96 eps
439    3470     지옥에서 돌아온 여자                                           60 eps
440    3480     나의 '신'랑                                               70 eps
441    3501     그 여자의 참 모습                                            64 eps
